DPA_PARROQ,RIESGO_INUNDACION,SCORE
92550.0,Alto,0.98
109074.41182682154,Alto,0.93
92850.0,Medio,0.95
100151.0,Bajo,0.99
100152.0,Medio,0.96
100153.0,Bajo,0.91
109074.41182682154,Bajo,0.99
100154.0,Medio,0.98
100155.0,Bajo,0.91
100156.0,Medio,0.92
100157.0,Medio,0.95
100250.0,Bajo,0.99
100251.0,Medio,0.99
109074.41182682154,Bajo,0.93
100253.0,Medio,0.99
100254.0,Bajo,0.92
100357.0,Alto,0.94
100351.0,Alto,0.94
100350.0,Bajo,0.95
100352.0,Medio,0.97
100353.0,Medio,0.91
100354.0,Alto,0.9
100355.0,Medio,0.99
100356.0,Alto,0.86
100358.0,Medio,0.96
109074.41182682154,Bajo,1.0
100452.0,Medio,0.98
100453.0,Medio,0.94
100450.0,Bajo,1.0
100454.0,Bajo,0.92
100455.0,Medio,0.94
100456.0,Bajo,0.99
100457.0,Medio,0.99
100458.0,Bajo,0.99
100459.0,Bajo,0.97
100551.0,Bajo,0.95
100552.0,Medio,0.96
100550.0,Bajo,0.95
109074.41182682154,Bajo,0.95
100651.0,Alto,0.91
100652.0,Medio,0.98
100653.0,Medio,0.98
100654.0,Alto,0.82
100655.0,Medio,0.97
100650.0,Medio,0.96
110151.0,Medio,0.99
110152.0,Bajo,0.98
110153.0,Bajo,1.0
110154.0,Medio,0.95
110155.0,Bajo,0.99
110150.0,Bajo,0.87
110156.0,Bajo,1.0
110163.0,Bajo,0.99
110157.0,Bajo,0.97
110158.0,Medio,0.98
110159.0,Medio,0.95
110160.0,Medio,0.99
110161.0,Bajo,0.99
110162.0,Bajo,0.97
110250.0,Bajo,0.99
110251.0,Medio,0.8
110252.0,Bajo,0.98
109074.41182682154,Bajo,0.99
110253.0,Bajo,1.0
110350.0,Bajo,0.9
110351.0,Medio,0.86
110352.0,Bajo,0.99
109074.41182682154,Bajo,0.99
110354.0,Bajo,0.99
110450.0,Medio,0.93
110451.0,Medio,0.97
109074.41182682154,Medio,0.97
110456.0,Medio,0.96
109074.41182682154,Medio,0.97
110554.0,Bajo,0.99
110551.0,Bajo,0.97
110550.0,Medio,0.78
110552.0,Bajo,0.94
110553.0,Bajo,0.97
110654.0,Bajo,0.98
110650.0,Bajo,0.97
110651.0,Bajo,0.99
110656.0,Bajo,1.0
110655.0,Bajo,0.99
110652.0,Bajo,1.0
110653.0,Bajo,1.0
109074.41182682154,Bajo,1.0
110750.0,Medio,0.92
110753.0,Bajo,0.95
110754.0,Bajo,0.99
110756.0,Bajo,0.99
110852.0,Bajo,0.99
110851.0,Bajo,1.0
110850.0,Bajo,0.98
110853.0,Bajo,0.95
110951.0,Bajo,0.99
110958.0,Medio,0.98
110950.0,Bajo,0.97
110952.0,Medio,0.96
110954.0,Medio,0.91
110956.0,Medio,0.97
110957.0,Alto,0.82
110959.0,Medio,0.92
111050.0,Medio,0.96
111051.0,Medio,0.98
111052.0,Medio,0.99
111053.0,Medio,0.99
111054.0,Medio,0.97
111055.0,Medio,0.95
111151.0,Medio,0.94
111152.0,Bajo,0.99
111153.0,Bajo,1.0
111154.0,Bajo,0.91
111155.0,Bajo,1.0
111156.0,Bajo,0.93
111157.0,Bajo,0.95
111150.0,Medio,0.95
111158.0,Bajo,1.0
111160.0,Bajo,0.99
111159.0,Bajo,0.98
111251.0,Bajo,0.97
111250.0,Bajo,1.0
111252.0,Bajo,0.98
111355.0,Bajo,0.97
111356.0,Bajo,0.98
111352.0,Bajo,0.97
111353.0,Bajo,0.93
111354.0,Bajo,0.94
111350.0,Bajo,0.9
111452.0,Medio,0.96
111451.0,Medio,0.95
111450.0,Medio,0.99
111551.0,Bajo,0.99
111550.0,Bajo,1.0
111552.0,Bajo,1.0
111651.0,Medio,0.93
111650.0,Bajo,0.99
120150.0,Medio,0.83
120152.0,Alto,0.98
120153.0,Alto,0.91
120155.0,Alto,0.95
120154.0,Alto,0.99
120250.0,Alto,1.0
120251.0,Alto,0.99
120252.0,Alto,0.99
120350.0,Alto,0.99
120450.0,Alto,1.0
120451.0,Alto,0.99
120452.0,Alto,0.93
120555.0,Alto,0.95
120550.0,Medio,0.92
120553.0,Alto,0.88
120650.0,Alto,0.97
120651.0,Medio,0.96
120750.0,Alto,0.96
120752.0,Alto,0.97
120851.0,Alto,1.0
120850.0,Alto,0.9
120950.0,Alto,0.99
121051.0,Medio,0.69
121050.0,Medio,0.47
121150.0,Medio,0.97
121250.0,Alto,1.0
121350.0,Alto,0.99
130151.0,Medio,0.9
130152.0,Bajo,0.93
130157.0,Medio,0.89
130153.0,Bajo,0.77
130150.0,Bajo,0.93
130154.0,Bajo,0.97
130155.0,Bajo,0.93
130156.0,Bajo,0.9
130250.0,Medio,0.86
130251.0,Alto,0.96
130252.0,Medio,0.96
130351.0,Bajo,0.93
130352.0,Medio,0.97
130354.0,Medio,0.91
130350.0,Bajo,0.98
130353.0,Alto,0.94
130355.0,Alto,0.98
130356.0,Medio,0.95
130357.0,Alto,0.97
130450.0,Bajo,0.92
